A LEFTSHIFT A    
B LEFTSHIFT B
C LEFTSHIFT C
D LEFTSHIFT D
E LEFTSHIFT E
F LEFTSHIFT F
G LEFTSHIFT G
H LEFTSHIFT H
I LEFTSHIFT I
J LEFTSHIFT J
K LEFTSHIFT K
L LEFTSHIFT L
M LEFTSHIFT M
N LEFTSHIFT N
O LEFTSHIFT O
P LEFTSHIFT P
Q LEFTSHIFT Q
R LEFTSHIFT R
S LEFTSHIFT S
T LEFTSHIFT T
U LEFTSHIFT U
V LEFTSHIFT V
W LEFTSHIFT W
X LEFTSHIFT X
Y LEFTSHIFT Y
Z LEFTSHIFT Z
a  A
b  B
c  C
d  D
e  E
f  F
g  G
h  H
i  I
j  J
k  K
l  L
m  M
n  N
o  O
p  P
q  Q
r  R
s  S
t  T
u  U
v  V
w  W
x  X
y  Y
z  Z
1  1
2  2
3  3
4  4
5  5
6  6
7  7
8  8
9  9
0  0
! LEFTSHIFT 1
" LEFTSHIFT 2
£ LEFTSHIFT 3
$ LEFTSHIFT 4
% LEFTSHIFT 5
^ LEFTSHIFT 6
& LEFTSHIFT 7
* LEFTSHIFT 8
( LEFTSHIFT 9
) LEFTSHIFT 0
_ LEFTSHIFT MINUS
+ LEFTSHIFT EQUAL
{ LEFTSHIFT LEFTBRACE
} LEFTSHIFT RIGHTBRACE
: LEFTSHIFT SEMICOLON
@ LEFTSHIFT APOSTROPHE
< LEFTSHIFT COMMA
> LEFTSHIFT DOT
? LEFTSHIFT SLASH
| LEFTSHIFT BACKSLASH
¬ LEFTSHIFT GRAVE
- MINUS
= EQUAL  
[  LEFTBRACE
]  RIGHTBRACE
;  SEMICOLON
' APOSTROPHE
,  COMMA
.  DOT
/  SLASH
\  BACKSLASH_EXT
`  GRAVE
# HASH_EXT
