A SHIFT_LEFT A    
B SHIFT_LEFT B
C SHIFT_LEFT C
D SHIFT_LEFT D
E SHIFT_LEFT E
F SHIFT_LEFT F
G SHIFT_LEFT G
H SHIFT_LEFT H
I SHIFT_LEFT I
J SHIFT_LEFT J
K SHIFT_LEFT K
L SHIFT_LEFT L
M SHIFT_LEFT M
N SHIFT_LEFT N
O SHIFT_LEFT O
P SHIFT_LEFT P
Q SHIFT_LEFT Q
R SHIFT_LEFT R
S SHIFT_LEFT S
T SHIFT_LEFT T
U SHIFT_LEFT U
V SHIFT_LEFT V
W SHIFT_LEFT W
X SHIFT_LEFT X
Y SHIFT_LEFT Y
Z SHIFT_LEFT Z
a  A
b  B
c  C
d  D
e  E
f  F
g  G
h  H
i  I
j  J
k  K
l  L
m  M
n  N
o  O
p  P
q  Q
r  R
s  S
t  T
u  U
v  V
w  W
x  X
y  Y
z  Z
1  1
2  2
3  3
4  4
5  5
6  6
7  7
8  8
9  9
0  0
! SHIFT_LEFT 1
" SHIFT_LEFT 2
£ SHIFT_LEFT 3
$ SHIFT_LEFT 4
% SHIFT_LEFT 5
^ SHIFT_LEFT 6
& SHIFT_LEFT 7
* SHIFT_LEFT 8
( SHIFT_LEFT 9
) SHIFT_LEFT 0
_ SHIFT_LEFT MINUS
+ SHIFT_LEFT EQUAL
{ SHIFT_LEFT BRACKET_LEFT
} SHIFT_LEFT BRACKET_RIGHT
: SHIFT_LEFT SEMICOLON
@ SHIFT_LEFT APOSTROPHE
< SHIFT_LEFT COMMA
> SHIFT_LEFT PERIOD
? SHIFT_LEFT SLASH
| SHIFT_LEFT BACKSLASH
¬ SHIFT_LEFT GRAVE
- MINUS
= EQUAL  
[  BRACKET_LEFT
]  BRACKET_RIGHT
;  SEMICOLON
' APOSTROPHE
,  COMMA
.  PERIOD
/  SLASH
\  BACKSLASH_EXT
`  GRAVE
# HASH_EXT
